ID,var_rpta_alt,Prob_uno
314574#3694#1075657,0,0.01
528216#64040#1040959,1,1.0
465062#604779#475563,0,0.01
247272#395591#684318,1,0.23
151128#110020#977778,1,1.0
46763#439443#640860,0,0.01
503710#793534#286808,1,1.0
159737#402057#677859,0,0.14
548982#809447#270895,1,0.99
504183#879245#201097,0,0.22
42167#231055#851776,0,0.2
629624#243610#839393,0,0.05
595352#624515#455827,1,0.17
309871#30481#1002212,0,0.15
552677#322102#761040,0,0.05
235644#797387#282955,0,0.07
58195#463204#617138,1,0.1
147448#869852#210490,0,0.03
258566#432676#647411,1,0.99
584964#278733#804308,1,1.0
171024#339766#740878,1,0.97
57464#758480#321862,0,0.07
504662#563544#516798,1,0.97
26434#281511#801537,1,0.23
123401#1039714#40628,0,0.08
201713#220064#862728,0,0.32
163010#325628#757507,0,0.05
520236#632766#447576,0,0.06
368732#359573#720289,0,0.12
217302#260957#822026,0,0.13
293162#392515#687392,1,0.94
209171#464438#615904,1,0.18
329826#295290#787806,1,1.0
192530#22810#1077886,0,0.07
476885#589003#491339,0,0.16
12691#521540#558802,0,0.01
51076#792089#288253,1,0.28
314987#721617#358725,0,0.23
87128#403403#676514,1,0.18
237802#417900#662099,1,0.73
307797#29541#728336,0,0.04
609181#659341#421001,0,0.11
480799#70193#1034857,0,0.1
303268#585749#494593,1,0.27
374175#197344#890916,0,0.24
277333#437103#643180,0,0.03
183003#999441#80901,0,0.21
592614#213938#868823,1,0.99
311205#32805#886368,0,0.12
101004#688197#392145,1,1.0
338267#440477#639828,1,0.97
250965#8635#1000395,0,0.05
162059#1067300#13042,0,0.28
194604#718455#361887,1,1.0
594388#787222#293120,0,0.21
452648#456882#623440,1,0.97
348282#547641#532701,0,0.16
515869#361543#718318,1,0.95
41811#762182#318160,1,0.99
575184#2386#1075607,0,0.08
480005#925753#154589,0,0.13
27965#678559#401783,1,0.54
218831#901394#178948,1,1.0
197904#300093#783017,1,0.12
302241#866189#214153,0,0.15
441100#129386#958466,1,0.99
371340#618189#462153,0,0.3
587837#225339#857470,1,1.0
293086#658657#421685,1,0.34
1052#620928#459414,1,0.13
15005#212150#870602,0,0.12
395577#872768#207574,0,0.13
496183#892641#187701,0,0.09
596732#737222#343120,1,0.26
222704#994155#86187,0,0.09
428240#358118#721744,1,1.0
530868#489060#591282,0,0.07
56882#826558#253784,1,0.97
436069#558280#522062,1,0.38
312152#19913#1079401,0,0.02
624742#887160#193182,1,0.98
318351#607872#472470,0,0.39
544650#352845#727026,0,0.17
537497#199189#889077,0,0.13
114755#873935#206407,0,0.19
16487#851684#228658,1,0.95
388799#753659#326683,0,0.07
402202#169452#918682,0,0.13
258075#982528#97814,0,0.24
523992#503723#576619,1,0.46
6425#838836#241506,0,0.04
77689#161111#926996,1,0.97
304520#944083#136259,0,0.35
538878#498860#581482,0,0.17
145860#390801#689103,0,0.02
471333#314153#768984,1,1.0
39187#232765#850066,1,0.77
257053#524475#555867,1,0.97
587329#399884#680025,1,1.0
34805#590695#489647,1,0.42
271840#633716#446626,0,0.27
179190#133200#954765,1,0.98
544419#123213#964610,1,0.8
89804#811065#269277,1,1.0
143910#560157#520185,1,0.71
90462#31565#877991,0,0.23
339249#244238#838759,1,0.64
168952#803406#276936,0,0.1
531737#453507#626832,1,0.71
584844#303415#779690,1,0.98
141828#926092#154250,0,0.17
283760#485736#594606,1,0.99
199023#349690#731068,0,0.21
537143#452756#627595,1,0.86
72700#235262#847619,0,0.05
240561#1015594#64748,1,1.0
259140#611601#468741,0,0.08
429954#759416#320926,0,0.09
314883#2206#876926,1,0.94
92333#659572#420770,0,0.11
437930#513290#567052,1,0.35
27927#390385#689503,0,0.03
170685#810590#269752,1,0.99
36680#472426#607916,0,0.04
62428#664617#415725,0,0.12
504395#422828#657156,0,0.08
45239#769761#310581,0,0.19
516727#976969#103373,0,0.28
99481#647580#432762,1,1.0
157618#861499#218843,0,0.29
115417#496488#583854,0,0.11
315497#10969#1076694,0,0.02
473681#818954#261388,1,0.17
380283#107198#980592,0,0.03
242219#735463#344879,0,0.05
130686#570869#509473,0,0.16
281382#11598#1072435,1,0.18
140089#10693#1000291,1,1.0
297318#650407#429935,1,0.26
34201#481156#599186,0,0.13
628820#385141#694715,1,0.81
263765#84693#1020561,0,0.78
496217#1073258#7084,1,1.0
37788#756083#324259,1,0.99
391308#606156#474186,1,0.4
510092#914109#166233,0,0.06
153015#309105#774019,1,1.0
485026#286123#796941,1,0.99
28829#625226#455116,0,0.39
310991#27211#753463,0,0.01
10950#413690#666233,1,0.19
474837#396423#683487,1,1.0
49931#779547#300795,1,0.99
14922#887893#192449,1,1.0
384676#757178#323164,1,1.0
40285#11530#1006795,1,0.12
580692#400902#679009,0,0.21
487477#981682#98660,1,0.3
436600#305880#777231,1,0.99
346429#262892#820094,1,0.99
68982#259972#823011,1,1.0
500944#166231#921891,0,0.04
541269#371950#707902,0,0.21
489371#308553#774567,1,0.98
496007#265290#817701,1,1.0
252676#9813#1012817,0,0.05
464723#773532#306810,1,0.91
503484#106131#981652,1,0.99
465021#482048#598294,1,0.3
350710#750032#330310,0,0.2
100285#364244#715607,0,0.06
179660#89738#1015577,0,0.14
483927#889779#190563,1,0.31
29949#1016138#64204,1,0.99
378371#332026#748539,1,0.95
453173#352495#727375,1,0.06
77794#989936#90406,0,0.24
474347#312617#770524,1,0.97
472913#947495#132847,1,0.99
331094#53592#1051359,1,0.97
108997#235721#847175,0,0.59
598016#152078#936023,0,0.07
31880#524182#556160,0,0.2
219556#815743#264599,1,0.99
92012#239050#843960,1,0.98
554580#490975#589367,1,0.41
162602#547314#533028,0,0.3
341496#62475#1042513,0,0.04
493418#879289#201053,0,0.02
184119#979252#101090,0,0.29
85696#133244#954723,0,0.06
381710#1039929#40413,0,0.15
314432#23031#999361,0,0.0
397044#307779#775341,0,0.19
468042#697324#383018,1,0.28
511269#996#1078341,0,0.05
143962#828401#251941,1,1.0
361495#1006932#73410,1,0.98
351016#192886#895360,1,0.81
541648#201021#887248,0,0.21
105957#132666#955263,0,0.11
492212#512892#567450,0,0.36
231074#447339#633010,1,0.99
615672#46411#1058418,0,0.04
79593#855129#225213,0,0.34
416555#252169#830841,1,0.99
363324#506539#573803,0,0.01
62301#871959#208383,1,0.99
199090#828013#252329,1,0.14
253254#653041#427301,1,0.99
212251#22807#1079510,1,0.71
293659#256995#825981,0,0.14
426268#736067#344275,1,0.98
484329#868403#211939,0,0.06
322761#194516#893739,1,1.0
98137#742157#338185,0,0.11
106054#795290#285052,0,0.34
418584#610494#469848,0,0.23
99586#490093#590249,0,0.24
287341#521399#558943,0,0.04
516047#795174#285168,1,0.16
300771#567261#513081,1,0.96
368600#725286#355056,0,0.34
372530#526618#553724,0,0.06
366984#347209#733504,0,0.25
8442#880833#199509,0,0.01
325089#867703#212639,0,0.01
589781#339451#741192,1,0.23
174533#952248#128094,0,0.03
621006#869232#211110,0,0.08
100940#126603#961232,1,0.91
183031#340513#740132,1,0.17
137147#514103#566239,1,0.95
34269#164321#923794,0,0.02
624370#896784#183558,0,0.15
270878#362983#716872,1,1.0
253953#987159#93183,0,0.45
177146#618914#461428,1,0.99
609554#501823#578519,1,0.98
596136#665482#414860,0,0.01
343832#964950#115392,1,0.37
236617#880187#200155,0,0.01
44362#36750#1068311,0,0.18
607511#674518#405824,0,0.06
88725#461483#618858,0,0.16
46691#89530#1015784,0,0.84
433459#191288#896950,1,0.99
89968#21626#1002224,0,0.72
459891#348669#732079,1,1.0
57576#798141#282201,0,0.17
426170#176530#911577,1,1.0
426461#896113#184229,1,0.19
602042#681224#399118,1,1.0
578250#145604#942492,1,0.99
64649#910702#169640,0,0.02
314940#2319#877777,0,0.03
483321#606812#473530,0,0.04
101644#696293#384049,0,0.34
482050#1059324#21018,0,0.19
273552#223858#858943,0,0.28
62936#30287#1011742,0,0.05
177932#283981#799071,1,0.86
35683#727143#353199,0,0.35
551727#505547#574795,1,1.0
20772#948467#131875,0,0.1
63911#279397#803647,0,0.04
1526#4440#1005114,0,0.0
52711#301541#781576,1,1.0
179578#640600#439742,0,0.13
39187#806758#273584,0,0.5
244894#729322#351020,0,0.24
21608#9524#1008432,1,0.12
258243#612497#467845,0,0.1
258010#155563#932542,0,0.1
432398#375982#703869,1,0.89
245496#112343#975470,0,0.34
72912#473763#606579,0,0.05
380875#602002#478340,1,0.66
405765#508402#571940,0,0.44
116924#205350#879913,1,1.0
35953#628554#451788,1,0.99
364461#1001427#78915,0,0.66
55680#973461#106881,1,0.02
515426#241446#841575,0,0.19
237956#750801#329541,1,0.62
97661#459457#620886,0,0.13
534818#456048#624281,1,0.82
241640#430271#649735,0,0.1
623758#57374#1047587,0,0.07
5529#798196#282146,0,0.05
534524#687303#393039,0,0.08
124951#719571#360771,1,0.21
521726#646924#433418,0,0.39
2066#458173#622169,1,0.03
491898#840640#239702,0,0.24
151045#339626#741020,1,0.99
632367#165897#922221,0,0.15
450149#71158#1033898,1,0.61
567557#15106#1073179,1,0.98
617245#6334#1073444,1,1.0
407789#15315#1079486,1,0.69
208304#671267#409075,0,0.22
161326#600006#480336,1,1.0
190889#676417#403925,0,0.16
116379#418317#661677,0,0.27
102090#1059788#20554,1,0.96
552880#1014026#66316,0,0.11
491453#875614#204728,1,0.99
409309#712892#367450,1,0.29
413410#119845#967980,1,0.98
539819#317968#765169,0,0.3
263243#387905#691947,0,0.03
148555#500876#579466,1,1.0
376907#369133#710725,0,0.17
5038#812932#267410,0,0.03
401831#377634#702228,1,1.0
257748#449478#630895,1,0.99
152272#617478#462864,0,0.13
418604#977883#102459,1,1.0
301591#843120#237222,1,0.22
109223#468416#611926,0,0.0
264071#179641#908479,0,0.08
153499#355947#723915,0,0.02
69329#1028622#51720,0,0.11
546233#1059290#21052,0,0.27
332474#124850#962977,0,0.22
143285#766457#313885,1,0.73
559326#314628#768515,0,0.16
248076#769845#310497,0,0.63
463113#156972#931124,0,0.09
376379#955303#125039,1,1.0
227935#1041602#38740,0,0.11
74142#126133#961698,1,1.0
430087#384779#695079,1,0.94
126882#154468#933647,0,0.17
86118#49989#1054855,0,0.18
464853#67410#1037625,0,0.08
324223#99814#987968,1,0.55
330294#63580#1041416,1,0.9
16254#18334#1080481,1,0.95
129613#424087#655895,1,0.68
363507#330921#749640,1,0.66
316106#1035475#44867,0,0.06
372766#943677#136665,1,0.32
329715#256522#826457,0,0.03
80517#849250#231092,1,0.82
192265#604881#475461,0,0.07
245514#403857#676063,0,0.13
43208#241846#841174,1,1.0
34493#535199#545143,1,1.0
41603#532071#548271,1,0.98
315508#22636#1008879,0,0.18
74258#1037784#42558,0,0.11
178965#457710#622623,0,0.28
556497#882106#198236,0,0.15
193339#516203#564139,0,0.05
249497#499739#580603,0,0.25
440273#85166#1020094,1,1.0
60608#694984#385358,1,0.27
506023#3408#1008898,0,0.02
601049#340920#739725,1,0.39
597898#500186#580156,0,0.28
112679#1062102#18240,0,0.65
34097#444145#636179,1,1.0
83406#133063#954892,1,1.0
201447#1018169#62173,0,0.25
456840#388124#691728,1,1.0
342459#77175#1027907,0,0.06
137511#629371#450971,0,0.73
201614#128570#959281,0,0.1
98861#11518#1004740,0,0.05
566085#178649#909472,1,0.97
305517#30899#876048,0,0.08
431361#823380#256962,1,0.16
572104#40589#1064504,1,0.89
293847#1023293#57049,1,0.77
305549#1631#884935,1,0.86
491564#34298#1070736,0,0.34
49446#668948#411394,1,0.99
214053#472928#607414,0,0.2
386799#1052572#27770,0,0.19
535621#677513#402829,1,0.99
40546#598457#481885,0,0.08
148195#233675#849081,0,0.23
627123#309408#773717,0,0.04
194948#325124#758005,0,0.07
514814#424438#655548,1,1.0
395026#224191#858611,0,0.09
275117#151953#936151,0,0.18
413294#879987#200355,0,0.42
378312#267498#815513,0,0.18
590421#448462#631894,0,0.14
102842#209440#873288,1,1.0
100969#1035188#45154,1,1.0
414424#606179#474163,1,0.99
526376#487569#592773,1,1.0
282965#657090#423252,1,0.98
248013#436211#644033,1,0.99
631219#15435#1077443,0,0.12
162319#281932#801114,0,0.06
499292#376495#703360,0,0.02
100566#569947#510395,1,0.98
418333#370612#709233,0,0.18
452318#680253#400089,1,0.92
291272#534#1073013,1,0.85
548304#672020#408322,0,0.11
519369#71722#1033340,1,0.02
402276#190086#898149,0,0.27
218121#456850#623471,1,1.0
504074#464951#615391,0,0.06
536969#185270#902873,0,0.04
44880#239532#843486,1,0.98
586449#896726#183616,0,0.18
317871#53929#1051019,0,0.02
98757#432351#647727,0,0.05
35432#175951#912146,0,0.14
215445#570174#510168,1,0.98
332849#115229#972591,0,0.17
314834#22151#1010280,0,0.01
334693#421052#658936,1,1.0
234635#624480#455862,1,0.96
453488#343771#736906,1,1.0
566891#662365#417977,1,0.98
541100#979666#100676,1,0.82
349220#105642#982138,0,0.26
492907#561592#518750,0,0.37
397719#392309#687590,1,0.96
298453#961556#118786,1,1.0
309623#10717#884710,0,0.07
195044#997455#82887,1,0.25
620780#558090#522252,1,1.0
110505#753128#327214,0,0.89
141810#482141#598201,0,0.28
544811#468317#612025,0,0.07
175976#260003#822978,1,1.0
282653#1014418#65924,0,0.09
514553#76342#1028728,0,0.02
474309#744649#335693,0,0.04
598533#536243#544099,0,0.21
604569#136329#951768,0,0.27
388904#953366#126976,0,0.03
630226#548272#532070,1,0.2
313688#22407#1071982,0,0.0
190707#609000#471342,0,0.15
22803#562598#517744,1,0.98
146120#141433#946668,0,0.24
431330#1074157#6185,0,0.32
171677#461330#619010,0,0.21
369725#269551#813459,1,1.0
536839#4115#999344,1,1.0
249765#676614#403728,0,0.03
155431#923121#157221,0,0.03
366667#740011#340331,1,0.99
166600#147185#940909,1,0.99
280668#22641#1001156,1,0.99
472797#114390#973428,0,0.84
71014#602741#477601,0,0.1
303771#475119#605223,0,0.09
149491#348173#732566,1,1.0
107429#570430#509912,0,0.08
168661#926825#153517,0,0.16
529727#592475#487867,0,0.14
161200#1057315#23027,0,0.31
143123#305565#777541,0,0.09
458940#403119#676800,1,0.62
624100#572115#508227,0,0.22
544733#58176#1046800,1,0.98
140568#268037#814975,1,0.94
178598#982584#97758,1,0.34
350864#923141#157201,1,0.88
500437#718613#361729,0,0.06
176634#571271#509071,1,1.0
195677#1000548#79794,1,0.99
347347#406872#673051,1,0.95
99763#652393#427949,0,0.54
114867#776915#303427,1,1.0
607360#1015698#64644,0,0.16
313804#22909#999273,0,0.0
6696#631987#448355,1,1.0
113844#150739#937361,0,0.21
434801#425908#654067,1,0.7
514563#141751#946349,0,0.86
22244#154506#933609,0,0.18
46059#387461#692391,1,0.67
263715#491394#588948,1,0.98
441126#862258#218084,0,0.28
451772#353365#726504,0,0.02
267700#12893#1000730,0,0.03
251893#620206#460136,0,0.18
22400#535521#544821,1,0.33
404290#1053008#27334,1,0.2
557504#137312#950795,0,0.1
151536#862073#218269,0,0.05
41616#762854#317488,1,0.17
562399#455440#624897,1,0.96
600365#496277#584065,1,0.26
340439#421014#658975,0,0.2
294087#536967#543375,0,0.21
127935#453693#626648,1,0.97
298915#732734#347608,1,0.33
122065#292231#790833,0,0.1
450528#995618#84724,1,0.79
3627#1052986#27356,1,0.99
429188#365765#714091,0,0.1
446766#309990#773144,0,0.27
146523#321833#761314,0,0.07
524344#11385#1075049,0,0.02
360424#68220#1036820,1,0.97
263382#107132#980658,1,1.0
127606#322837#760300,0,0.02
380355#1072868#7474,0,0.07
101588#170084#918049,0,0.2
209462#293522#789558,0,0.04
466022#45294#1059534,0,0.08
141813#552458#527884,0,0.37
491827#269122#813888,0,0.1
631131#634933#445409,1,1.0
219952#393654#686254,0,0.2
307659#566342#514000,1,0.69
348158#377619#702243,1,1.0
167081#1020051#60291,1,0.24
71621#599806#480536,0,0.32
69059#121287#966534,0,0.04
241819#468596#611746,1,0.99
628572#299797#783312,1,1.0
392423#501381#578961,0,0.23
227304#132284#955631,1,1.0
169420#147220#940874,0,0.1
599945#788071#292271,1,0.27
39657#480324#600018,1,1.0
254726#34695#1070350,1,0.97
282424#661742#418600,0,0.06
309700#18262#997216,0,0.04
295165#692272#388070,1,0.99
302884#1001245#79097,0,0.05
440313#820121#260221,0,0.39
585344#269784#813227,1,0.79
150522#845544#234798,0,0.22
65511#648810#431532,0,0.21
15310#688269#392073,0,0.23
127226#79940#1025259,1,0.89
304596#567361#512981,1,0.8
165811#247567#835437,1,0.83
282244#349715#731042,1,0.99
545857#47243#1057582,1,1.0
452235#905905#174437,1,0.17
363266#955995#124347,0,0.09
278206#879312#201030,0,0.09
595439#381362#698490,0,0.12
238561#498128#582214,0,0.27
79583#1075799#4543,1,1.0
558233#806890#273452,1,1.0
63382#175299#912804,0,0.11
309739#23545#1008078,0,0.02
44704#679221#401121,1,0.98
35409#414568#655158,0,0.22
130445#222276#860519,0,0.23
395753#467427#612915,1,0.07
403524#759490#320852,1,0.99
326217#409373#670549,1,0.97
126649#374245#705609,0,0.23
503321#895097#185245,0,0.01
365564#86862#1018402,0,0.04
373242#840525#239817,1,0.21
610332#150865#937232,1,0.98
534307#499397#580945,1,0.14
127039#897616#182726,0,0.06
314041#19920#1001222,0,0.05
488267#264006#818986,0,0.05
403141#957677#122665,0,0.35
240259#244095#838905,1,1.0
376207#952614#127728,1,0.99
627249#931878#148464,1,1.0
304565#1072656#7686,0,0.27
320763#114432#973386,1,1.0
364984#841362#238980,0,0.07
597102#660838#419504,1,0.22
437789#164296#923819,1,0.76
595097#393146#686758,0,0.29
533430#102662#985112,1,0.99
60803#727192#353150,1,0.44
442377#966237#114105,1,0.99
395651#971336#109006,0,0.21
527977#401522#678393,0,0.16
443749#702019#378323,0,0.27
176521#535121#545221,1,0.99
433828#348543#732203,0,0.02
490652#876137#204205,0,0.11
123924#817057#263285,1,1.0
78228#726487#353855,0,0.22
261555#1001517#78825,0,0.13
19672#457145#623180,1,0.82
257716#749167#331175,1,1.0
462399#522042#558300,0,0.14
419532#767627#312715,1,0.57
477766#406019#673905,0,0.17
614980#387019#692832,1,1.0
451940#135456#952638,0,0.17
176514#606730#473612,1,1.0
379169#957323#123019,0,0.05
461149#673917#406425,1,0.94
215460#486539#593803,1,0.3
114974#685110#395232,0,0.72
552472#807006#273336,0,0.19
406655#798131#282211,0,0.3
265200#971932#108410,1,1.0
342861#192687#895558,0,0.29
35465#480582#599760,0,0.15
569058#254601#828390,0,0.04
541839#909393#170949,0,0.1
272693#810670#269672,0,0.06
250602#606187#474155,1,0.85
549106#659511#420831,1,0.97
209139#43103#1061715,0,0.3
82120#1076625#3717,0,0.31
172509#1016117#64225,1,1.0
402058#226561#856247,1,0.8
239896#433691#646448,0,0.16
253364#212463#870287,1,0.97
422576#449079#631279,1,1.0
615093#327446#755682,1,0.92
176825#188350#899815,0,0.16
161584#1060602#19740,1,0.59
84657#497208#583134,0,0.03
520077#633031#447311,1,1.0
598423#383575#696278,0,0.05
163077#587192#493150,0,0.26
304978#1079149#1193,1,0.78
466054#530932#549410,1,1.0
288626#360466#719396,1,1.0
274378#607649#472693,0,0.35
266749#119619#968207,1,0.84
148981#1025743#54599,0,0.27
128519#371193#708656,0,0.27
47579#1014817#65525,0,0.1
302769#132834#955104,0,0.16
68218#227721#855107,1,0.97
492212#512885#567457,0,0.34
373973#753254#327088,0,0.72
496271#559376#520966,0,0.15
368229#1041100#39242,1,0.78
436599#918124#162218,1,0.93
621127#64309#1040693,1,0.86
94186#337118#743485,1,0.99
471225#277453#805581,0,0.04
60699#411905#668014,0,0.02
262828#479758#600584,1,1.0
263623#235259#847622,0,0.0
199630#1042429#37913,1,0.93
602375#396410#683500,1,0.18
195230#727310#353032,0,0.14
103773#118774#969058,1,1.0
324592#221886#860903,0,0.23
160611#871562#208780,1,0.99
504662#563442#516900,1,0.99
433108#558212#522130,1,0.39
73596#218050#864718,1,1.0
251996#1004861#75481,1,0.96
159718#964255#116087,1,1.0
236928#222685#860110,1,0.27
369222#465225#615117,1,0.99
48584#779685#300657,0,0.28
578689#809935#270407,1,1.0
334057#453250#627095,0,0.23
105555#985260#95082,0,0.19
377189#942520#137822,1,0.99
343266#805740#274602,1,1.0
358640#334910#745677,1,0.99
145389#118513#969321,1,0.2
306252#27776#885782,0,0.03
63279#474551#605791,0,0.03
184545#1079616#726,0,0.07
94011#1052006#28336,1,0.99
126749#651383#428959,0,0.06
87928#145995#942100,0,0.43
311336#996707#83635,1,1.0
525524#317328#765813,0,0.05
497677#303293#779813,0,0.05
341674#96529#991242,1,0.89
291809#1028370#51972,1,1.0
623131#244639#838356,0,0.76
622610#827370#252972,0,0.27
358040#66595#1038438,0,0.24
348765#620629#459713,1,0.96
236563#365664#714192,0,0.08
338667#793277#287065,0,0.14
267081#715595#364747,0,0.18
72399#805159#275183,0,0.19
685#330256#750444,0,0.23
183959#768677#311665,1,0.99
313802#20232#1011078,0,0.01
79395#2204#1080610,0,0.01
533794#322375#760767,1,0.98
159807#857452#222890,1,0.64
186137#756952#323390,0,0.21
15631#430892#649139,1,1.0
227620#446925#633423,0,0.06
362987#614684#465658,0,0.07
18120#315204#769295,0,0.05
547160#853094#227248,0,0.73
470931#504845#575497,0,0.05
166876#730750#349592,0,0.31
67558#35690#1069364,1,0.94
291633#477837#602505,1,0.97
1696#854216#226126,1,0.21
302103#207261#875424,1,0.88
262821#875801#204541,1,0.99
256187#85678#1019584,0,0.06
50351#639965#440377,0,0.1
313220#27687#886085,0,0.01
629453#13315#1012578,1,0.92
15682#496645#583697,1,0.97
547216#157823#930279,0,0.23
11118#841928#238414,0,0.3
618298#229345#853492,1,0.92
360084#58539#1042820,0,0.19
187017#708359#371983,0,0.67
540296#669889#410453,1,0.98
468814#795609#284733,1,1.0
132604#246704#836291,1,0.99
621208#1074#997733,0,0.02
122503#1052582#27760,0,0.25
402431#739787#340555,0,0.05
495346#1046844#33498,1,1.0
574251#468898#611444,1,0.99
599036#1074349#5993,0,0.05
122669#294100#788986,1,0.75
257650#133237#954730,1,0.99
351530#151169#936926,0,0.11
101913#125121#962709,1,0.81
128235#661656#418686,1,0.11
196819#91847#995918,1,0.98
261364#878629#201713,1,0.3
190614#506837#573505,0,0.18
530945#656607#423735,1,1.0
499877#830719#249623,1,0.98
198443#896912#183430,0,0.16
283577#664096#416246,1,0.99
318082#373472#706381,1,0.92
260746#840793#239549,0,0.19
188888#610118#470224,1,0.97
237210#244566#838432,1,0.99
23726#559874#520468,0,0.24
41161#147717#940377,0,0.25
190293#42144#1062959,0,0.46
16676#342131#738529,0,0.05
158689#547147#533195,0,0.3
492417#294701#788394,0,0.29
485366#83395#1021852,1,0.08
111238#938532#141810,1,0.99
190406#608839#471503,0,0.38
560902#271630#811385,1,0.85
390191#60896#1044080,0,0.04
534341#129567#958283,1,0.99
78862#759257#321085,0,0.35
551628#998329#82013,1,0.96
137908#986225#94117,0,0.06
113232#983607#96735,0,0.09
271122#258643#824344,0,0.02
165613#156563#931540,1,0.76
244592#273601#809415,1,0.76
33327#570961#509381,0,0.33
377264#78310#1026810,1,0.99
108083#735782#344560,1,0.47
205174#898972#181370,0,0.07
29497#421462#658527,0,0.1
485297#856882#223460,0,0.25
128693#634928#445414,1,0.38
101220#49012#1055815,1,0.79
179842#885430#194912,0,0.06
72148#89856#1015463,0,0.04
534715#127502#960348,1,0.83
176183#894811#185531,0,0.01
351887#796458#283884,0,0.06
255859#999873#80469,0,0.12
334759#1077132#3210,1,1.0
451465#559780#520562,1,0.11
402433#619952#460390,0,0.24
627083#364300#715552,1,0.24
623#1014015#66327,0,0.11
477233#478581#601761,1,1.0
203508#882615#197727,0,0.03
545775#389528#690320,0,0.0
173385#210923#871823,1,0.65
155969#567658#512684,0,0.33
420427#146388#941707,0,0.06
140942#791154#289188,1,1.0
312187#26097#885663,0,0.0
355669#912348#167994,1,1.0
345672#1031064#49278,1,0.99
84981#1017551#62791,0,0.02
48399#1038200#42142,0,0.13
46455#632791#447551,1,1.0
485843#702396#377946,0,0.31
160549#134466#953586,1,0.79
277282#546229#534113,0,0.24
471697#739573#340769,0,0.13
430235#755815#324527,0,0.33
101002#1030749#49593,1,1.0
514926#787365#292977,1,1.0
302607#1003847#76495,1,0.99
624962#476654#603688,0,0.2
153674#25720#999595,1,0.07
205199#517872#562470,1,0.97
585482#1007015#73327,0,0.08
358541#978907#101435,0,0.23
556154#801890#278452,1,1.0
146208#588133#492209,1,0.99
163016#192846#895399,1,1.0
494373#748511#331831,1,1.0
302099#1063761#16581,0,0.08
50471#706625#373717,1,1.0
70137#3717#1003767,1,0.89
39625#439017#641287,0,0.18
123836#1004659#75683,1,1.0
558307#1050949#29393,0,0.26
483771#912714#167628,0,0.04
273227#1046994#33348,1,1.0
281969#661462#418880,0,0.13
456300#508648#571694,1,1.0
460394#153501#934603,1,0.95
82186#877609#202733,1,1.0
503633#802661#277681,1,0.68
386721#304537#778569,0,0.06
371543#456685#623636,1,1.0
168104#529058#551284,0,0.15
627640#934823#145519,1,0.94
624840#152514#935583,0,0.3
314204#17925#997960,0,0.02
527760#421357#658632,0,0.14
607865#750783#329559,1,1.0
194978#79645#1025538,0,0.29
188787#6979#1003965,1,0.86
249514#1005702#74640,1,0.49
